Name,Comment,Time,Likes
Arya Shar,THER BRAND JEANS AND DENIM JACKETS WEAR GREAT IN THE 90S. HEAVY WEIGHT DENIM. NOT NO MORE!!!!!..........,2022-12-14T16:31:07Z,1
TANUJ AADITYA,"The weapons with which the capitalist felled feudalism to the ground,turned against the capitalist itself 
-Communist manifesto",2022-11-25T05:11:14Z,0
Jimmy Deneus,Gap is the new store for them to buy clothes for the people,2022-10-29T05:27:07Z,1
OneJacket,The Gap warehouses are toxic unrealistic environments that only certain cultures benefit from.  Absolute discusting appalling workplace.  It has made me hate the brand I have loved and bought forever.,2022-10-09T11:27:57Z,0
JPLSJP,The gap and Nike are sweat shops!!!!,2022-08-12T06:11:09Z,0
huntressvideos,"Yes I loved and owned the hoodies but also really great jeans, tshirts and stuff. They really had some great clothes. Haven't been to GAP in ages though.",2022-08-06T16:35:25Z,0
Prashant kumar,It was found the clothes of this industry was burnt in public groups and streets. They were insulted and beaten with bamboos in the streets. The banners was found to have the message as Simon go back. They got banged up abroad. It was a serious threat or a critical situation at the airport for salmon fishes. Rule was announced to legal. Thanks. Sue them with Qutub with copper Minar switch to iron pillar will conduct electricity with less electron. Superconducting material.,2022-07-31T16:15:51Z,0
Cosmo,"When I visit the Gap (US/North America) website and look at the models, it seems to suggest that our US population is about 50% pure West African, 30% Latino and maybe 20% Caucasian. I didn't know we lived in Cuba or Brazil but apparently we do.",2022-07-20T15:04:13Z,1
Pbkk,"Yep, Gap gone Woke, most of their models are non-White. My friends from Asia thinks America is another African nation by looking at the Gap website.",2023-02-28T05:40:21Z,0
Florian Michelitsch,"Will be interesting to know how the Yeezy x GAP x Balenciaga Collaboration  affected the sales growth
!",2022-07-06T10:49:46Z,0
Michael Izzo,...and rise again thanks to mr west,2022-05-18T08:34:49Z,0
J.Y 2023,great gap story,2022-03-19T02:23:54Z,0
Jonathan Collins,"Worked at the GAP the summer after I graduated college in 1998. Fun job! Their stuff was popular and sold like crazy. But they just didn’t keep up with the changing times and tastes. I eventually started shopping at JCrew, but even they are getting stale now.",2022-03-17T11:20:19Z,0
Ryan Lind,This is going to meksmeme cry do nadn,2022-02-19T01:53:30Z,0
Sheen Delute,involved thedetergent tide for gap imunity of course to peoples washing fashion if sales doube a without mutiple attemp double triple A battery to metabolic adict😎👍,2022-02-08T13:48:23Z,0
Sheen Delute,them got amhunation drobewar sales late 2000 for king english,2022-02-08T13:41:30Z,0
Sharlenne M. Pérez Villamil,GAP needs urban variety.,2022-01-17T14:57:23Z,0
ray rc',"I've bought 2 back day, had sawg':gp",2022-01-13T15:23:36Z,0
Hao,gap more like crap,2021-12-13T05:46:49Z,0
MsDay,My Mum used to have a friend who bought all of her kids' clothes at the Gap. We used to make fun of her for dressing her kids like nerds,2021-11-10T04:27:55Z,0
Dee Song,Gap used to make the best affordable tights.  I don’t think they know who their targeted consumers are anymore.,2021-09-05T11:08:26Z,1
Empty Nester ×5,I miss my clothes being from the gap!,2021-09-04T19:47:31Z,0
Lizzy,Honestly if they want more teens to shop there they need to get rid of those sweaters with the big letters. No body really find them pretty or cool anymore,2021-08-30T11:20:45Z,1
Marie W,Gap was always ugly there the answer lol,2021-08-29T12:15:57Z,0
joshchicago2008,Uniqlo,2021-08-28T12:09:00Z,0
Nancy Drew,I love the Gap and Old Navy! They make clothing my kids affordable. Banana Republic can always go!!,2021-08-27T17:27:39Z,1
Shalay Washington,Am I the only one who likes the logo sweaters? I always planned to collect the different colors when I got older and had better income.,2021-08-26T16:44:41Z,1
David,*Kanye West enters the room,2021-08-26T13:52:51Z,0
Sarah-Anne _,People stopped buying GAP in the UK when there was an expose of them using child labour.,2021-08-14T23:34:20Z,0
Furius Stiles,Wait. So we’re not going to talk about Mickey Drexler and George Costanza being brothers?,2021-07-15T01:06:43Z,0
bernard charles,This random white guy needs to gtfo. I can’t understand his mumbling.,2021-06-07T02:39:06Z,0
Icevscoolman,I forgot what GAP was.,2021-05-31T20:19:04Z,1
Mike the Mechanic,Old navy sucks since the late 90s. I only buy clothes for my kids who are 8.,2021-05-31T15:31:33Z,0
Angela Buyck,Old na ys better and they ha e plus size clothing gap does not. 8 tshirt old navy,2021-05-30T06:42:59Z,0
Tim Apple,"never thought id hear the sentence ""liberal baby boomers""",2021-05-25T09:28:53Z,0
Matthew W,1:00 what did he just say?,2021-05-24T16:44:53Z,0
Abilene Albuquerque,Lol remember when baby boomers were considered the most liberal generation,2021-05-02T09:28:56Z,0
Sindiswa Mabunda,Kanye West is gonna revitalise GAP,2021-04-22T05:33:51Z,3
Tony Bowman,"The third patricia chemically tap because dad geographically reject for a abstracted hour. probable, tangy increase",2021-04-11T01:02:58Z,0
kelly Rabe,I want to the gap to find maternity pants call the store and ask them they said yes we carry them in store when i got there i was told there only have them online i end up at the maternity store have not be back the sale people are rude,2021-04-08T22:59:22Z,0
Linda Yvoung,"Thanks for your sharing. Great video, great Youtuber. I wanna say thank you. For luxury bags, I love myluxurylife so much. Cheapest pice, fastest shipping, greatest quality. Just share to you all.",2021-03-29T07:11:02Z,0
ARTWEALLONE,TOO THE MOON,2021-03-12T18:28:42Z,1
Brandon Tellis,kanye will single handedly restore the gap,2021-03-12T05:42:50Z,4
Ker Loz,"The tenuous woolen consequently imagine because coke locally divide failing a talented needle. rambunctious, witty word",2021-03-06T03:04:15Z,0
